file,events,duration,parts
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (1).mid,472,110.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (10).mid,1200,316.25,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (100).mid,605,132.25,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (101).mid,865,309.25,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (102).mid,978,221.83333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (103).mid,554,147.83333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (104).mid,678,134.33333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (105).mid,630,278.9166666666667,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (106).mid,754,134.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (107).mid,738,220.83333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (108).mid,426,181.75,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (109).mid,504,120.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (11).mid,1104,242.25,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (110).mid,966,344.25,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (111).mid,966,344.25,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (112).mid,439,231.25,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (113).mid,479,120.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (114).mid,478,180.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (115).mid,539,171.33333333333334,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (116).mid,856,160.0,6
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (117).mid,864,224.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (118).mid,867,187.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (119).mid,542,158.91666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (12).mid,1191,244.0,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (120).mid,592,198.66666666666666,1
/mnt/c/Users/Sanjeev's LOQ/Desktop/Intership/AI_Music_Generation/midi/Tegridy-MIDI-Dataset (121).mid,576,110.25,1
